"","collection_no","record_type","formation","lng","lat","collection_name","collection_subset","collection_aka","n_occs","early_interval","late_interval","max_ma","min_ma","reference_no","paleomodel","paleolng","paleolat","geoplate","mid_ma","time_bin","id","getech_lng","getech_lat","Stage.number"
"972",2287,"col","Moutonianum",-2.57,37.87,"Cerro Trompeta-11",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"973",2288,"col","",-2.57,37.87,"Cerro Trompeta-12",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"974",2289,"col","",-2.57,37.87,"Cerro Trompeta-13",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"975",2290,"col","",-2.57,37.87,"Cerro Trompeta-14",NA,"",11,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"976",2291,"col","",-2.57,37.87,"Cerro Trompeta-15",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"977",2292,"col","",-2.57,37.87,"Cerro Trompeta-16",NA,"",15,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"978",2293,"col","",-2.57,37.87,"Cerro Trompeta-17",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"979",2294,"col","",-2.57,37.87,"Cerro Trompeta-18",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"980",2295,"col","",-2.57,37.87,"Cerro Trompeta-19",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"981",2296,"col","",-2.57,37.87,"Cerro Trompeta-20",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"982",2297,"col","",-2.57,37.87,"Cerro Trompeta-22",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"983",2300,"col","",-2.57,37.87,"Cerro Trompeta-26",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"984",2299,"col","",-2.57,37.87,"Cerro Trompeta-25",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"985",2301,"col","",-2.57,37.87,"Cerro Trompeta-24",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"986",2302,"col","",-1.88,38.05,"Barranco de Cavila-1",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"987",2310,"col","",-1.88,38.05,"Barranco de Cavila-9",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"988",2303,"col","",-1.88,38.05,"Barranco de Cavila-2",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"989",2304,"col","",-1.88,38.05,"Barranco de Cavila-3",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"990",2305,"col","",-1.88,38.05,"Barranco de Cavila-4",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"991",2306,"col","",-1.88,38.05,"Barranco de Cavila-5",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"992",2307,"col","",-1.88,38.05,"Barranco de Cavila-6",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"993",2308,"col","",-1.88,38.05,"Barranco de Cavila-7",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"994",2309,"col","",-1.88,38.05,"Barranco de Cavila-8",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"995",2312,"col","",-1.88,38.05,"Barranco de Cavila-11",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"996",2313,"col","",-1.88,38.05,"Barranco de Cavila-12",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"997",2311,"col","",-1.88,38.05,"Barranco de Cavila-10",NA,"",14,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"998",2314,"col","",-1.88,38.05,"Barranco de Cavila-12a",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"999",2315,"col","",-1.88,38.05,"Barranco de Cavila-13",NA,"",3,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1000",2316,"col","",-1.88,38.05,"Barranco de Cavila-14",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1001",2317,"col","",-1.88,38.05,"Barranco de Cavila-15",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1002",2318,"col","",-1.88,38.05,"Barranco de Cavila-16",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1003",2319,"col","",-1.88,38.05,"Barranco de Cavila-16a",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1004",2320,"col","",-1.88,38.05,"Barranco de Cavila-16b",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1005",2321,"col","",-1.88,38.05,"Barranco de Cavila-17",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1006",2322,"col","",-1.88,38.05,"Barranco de Cavila-17a",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1007",2323,"col","",-1.88,38.05,"Barranco de Cavila-17b",NA,"",13,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1008",2324,"col","",-1.88,38.05,"Barranco de Cavila-18",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1009",2325,"col","",-1.88,38.05,"Barranco de Cavila-19",NA,"",11,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1010",2326,"col","",-1.88,38.05,"Barranco de Cavila-19a",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1011",2327,"col","",-1.88,38.05,"Barranco de Cavila-20",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1012",2328,"col","",-1.88,38.05,"Barranco de Cavila-21",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1013",2329,"col","",-1.88,38.05,"Barranco de Cavila-22",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1014",2330,"col","",-1.88,38.05,"Barranco de Cavila-23",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1015",2331,"col","",-1.88,38.05,"Barranco de Cavila-23a",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1016",2332,"col","",-1.88,38.05,"Barranco de Cavila-23b",NA,"",1,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1017",2333,"col","",-1.88,38.05,"Barranco de Cavila-24",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1018",2334,"col","",-1.88,38.05,"Barranco de Cavila-25",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1019",2335,"col","",-1.88,38.05,"Barranco de Cavila-26",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1020",2336,"col","",-1.88,38.05,"Barranco de Cavila-26a",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",322,15.2767,26.4656,28
"1021",2337,"col","",-1.89,38.05,"Barranco de Cavila2-5",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1022",2339,"col","",-1.89,38.05,"Barranco de Cavila2-7",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1023",2338,"col","",-1.89,38.05,"Barranco de Cavila2-6",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1024",2340,"col","",-1.89,38.05,"Barranco de Cavila2-8",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1025",2341,"col","",-1.89,38.05,"Barranco de Cavila2-9",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1026",2342,"col","",-1.89,38.05,"Barranco de Cavila2-10",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1027",2343,"col","",-1.89,38.05,"Barranco de Cavila2-11",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1028",2344,"col","",-1.89,38.05,"Barranco de Cavila2-12",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1029",2345,"col","",-1.89,38.05,"Barranco de Cavila2-13",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1030",2346,"col","",-1.89,38.05,"Barranco de Cavila2-14",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1031",2347,"col","",-1.89,38.05,"Barranco de Cavila2-16",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1032",2348,"col","",-1.89,38.05,"Barranco de Cavila2-17",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1033",2349,"col","",-1.89,38.05,"Barranco de Cavila2-18",NA,"",2,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1034",2350,"col","",-1.89,38.05,"Barranco de Cavila2-19",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1035",2351,"col","",-1.89,38.05,"Barranco de Cavila2-20",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1036",2354,"col","",-1.89,38.05,"Barranco de Cavila2-22",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1037",2352,"col","",-1.89,38.05,"Barranco de Cavlia2-21",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1038",2353,"col","",-1.89,38.05,"Barranco de Cavila2-23",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1039",2355,"col","",-1.89,38.05,"Barranco de Cavila2-24",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1040",2356,"col","",-1.89,38.05,"Barranco de Cavila2-25",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1041",2357,"col","",-1.89,38.05,"Barranco de Cavila2-25a",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1042",2358,"col","",-1.89,38.05,"Barranco de Cavila2-26",NA,"",11,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1043",2359,"col","",-1.89,38.05,"Barranco de Cavila2-26a",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1044",2360,"col","",-1.89,38.05,"Barranco de Cavila2-27",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1045",2361,"col","",-1.89,38.05,"Barranco de Cavila2-27a",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1046",2362,"col","",-1.89,38.05,"Barranco de Cavila2-28",NA,"",11,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1047",2363,"col","",-1.89,38.05,"Barranco de Cavila2-28a",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1048",2364,"col","",-1.89,38.05,"Barranco de Cavila2-29",NA,"",6,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1049",2366,"col","",-1.89,38.05,"Barranco de Cavila2-30a",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1050",2367,"col","",-1.89,38.05,"Barranco de Cavila2-31",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1051",2368,"col","",-1.89,38.05,"Barranco de Cavila2-32",NA,"",10,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1052",2369,"col","",-1.89,38.05,"Barranco de Cavila2-33",NA,"",12,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1053",2370,"col","",-1.89,38.05,"Barranco de Cavila2-34",NA,"",14,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1054",2371,"col","",-1.89,38.05,"Barranco de Cavila2-35",NA,"",3,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1055",2372,"col","",-1.89,38.05,"Barranco de Cavila2-36",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1056",2373,"col","",-1.89,38.05,"Barranco de Cavila2-36a",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1057",2374,"col","",-1.89,38.05,"Barranco de Cavila2-37",NA,"",9,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1058",2375,"col","",-1.89,38.05,"Barranco de Cavila2-38",NA,"",3,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1059",2376,"col","",-1.89,38.05,"Barranco de Cavila2-39",NA,"",7,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1060",2377,"col","",-1.89,38.05,"Barranco de Cavila2-40",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1061",2378,"col","",-1.89,38.05,"Barranco de Cavila2-41",NA,"",3,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1062",2379,"col","",-1.89,38.05,"Barranco de Cavila2-42",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1089",2281,"col","",-2.57,37.87,"Cerro Trompeta-3",NA,"",4,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"1090",2283,"col","",-2.57,37.87,"Cerro Trompeta-6",NA,"",3,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"1091",2298,"col","",-2.57,37.87,"Cerro Trompeta-23",NA,"",8,"Barremian","",129.4,125,70,"gp_mid",19.57,25.75,"304",127.2,"barremian",321,15.2767,26.4656,28
"1092",2365,"col","",-1.89,38.05,"Barranco de Cavila2-30",NA,"",5,"Barremian","",129.4,125,70,"gp_mid",20.19,25.61,"304",127.2,"barremian",323,15.2767,26.4656,28
"1238",2561,"col","Qishn",48.57,14.27,"Wadi Kilya-1",NA,"",3,"Barremian","",129.4,125,74,"gp_mid",42.35,-20,"503",127.2,"barremian",371,39.4953,-20.1381,28
"1239",2568,"col","Qishn",48.57,14.27,"Wadi Kilya-2",NA,"",9,"Barremian","",129.4,125,74,"gp_mid",42.35,-20,"503",127.2,"barremian",371,39.4953,-20.1381,28
"1247",2576,"col","Qishn",48.49,14.3,"Jebel Billum I-1",NA,"",4,"Barremian","",129.4,125,74,"gp_mid",42.29,-19.94,"503",127.2,"barremian",372,39.4953,-20.1381,28
"1248",2577,"col","Qishn",48.49,14.3,"Jebel Billum I-2",NA,"",6,"Barremian","",129.4,125,74,"gp_mid",42.29,-19.94,"503",127.2,"barremian",372,39.4953,-20.1381,28
"1249",2578,"col","Qishn",48.49,14.3,"Jebel Billum I-3",NA,"",9,"Barremian","",129.4,125,74,"gp_mid",42.29,-19.94,"503",127.2,"barremian",372,39.4953,-20.1381,28
"1290",2619,"col","Qishn",48.04,14.55,"Mintaq Salt Dome-1",NA,"",4,"Barremian","",129.4,125,74,"gp_mid",42.01,-19.51,"503",127.2,"barremian",381,39.4953,-20.1381,28
"1291",2620,"col","Qishn",48.04,14.55,"Mintaq Salt Dome-2",NA,"",8,"Barremian","",129.4,125,74,"gp_mid",42.01,-19.51,"503",127.2,"barremian",381,39.4953,-20.1381,28
"5091",13333,"col","La Amarga",-70.19,-39.48,"La Amarga (main site)",NA,"",5,"Barremian","",129.4,125,63573,"gp_mid",-29.95,-37.48,"291",127.2,"barremian",1555,-33.4103,-38.5322,28
"5343",13937,"col","Yixian",121.42,41.37,"Dawangzhangzi",NA,"",19,"Barremian","",129.4,125,6171,"gp_mid",129.68,41.55,"604",127.2,"barremian",1618,132.8409,48.972,28
"11391",74573,"col","",5.3,43.27,"Ile Pomegues, Marseille",NA,"",2,"Barremian","",129.4,125,25065,"gp_mid",28.65,29.71,"305",127.2,"barremian",2074,23.7459,27.4451,28
"11394",74572,"col","",5.57,43.23,"Les Camerlots, Marseille",NA,"",1,"Barremian","",129.4,125,25065,"gp_mid",NA,NA,"coordinates not computable using this model",127.2,"barremian",2077,23.7459,27.4451,28
"11396",74571,"col","",5.45,43.23,"Mont Puget, Marseille",NA,"",2,"Barremian","",129.4,125,25065,"gp_mid",28.77,29.67,"305",127.2,"barremian",2079,23.7459,27.4451,28
"11398",74570,"col","",5.6,43.27,"Souvarel, Marseille",NA,"",1,"Barremian","",129.4,125,25065,"gp_mid",NA,NA,"coordinates not computable using this model",127.2,"barremian",2080,23.7459,27.4451,28
"11399",74569,"col","",5.53,43.23,"Gare de Cassis, Marseille",NA,"",1,"Barremian","",129.4,125,25065,"gp_mid",NA,NA,"coordinates not computable using this model",127.2,"barremian",2081,23.7459,27.4451,28
"11543",74531,"col","",-0.41,40.75,"Castellote SW (El Estrecho)",NA,"",1,"Barremian","",129.4,125,25016,"gp_mid",22.91,27.23,"304",127.2,"barremian",2130,19.5536,26.91,28
